candidateMatch,len_aTagContent_qt,len_aTagContent_group_between 60 and 175,len_aTagContent_group_under 60,len_href_qt,len_href_group_between 80 and 125,len_href_group_over 125,len_href_group_under 80,key_job_yn,num_keys_qt,attr_job_yn,all_text,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9
0.0,0.02252252252252252,0,1,0.0,0,0,1,0,0.0,0, href ,0,0,0,0,0,0,0,1,0
0.0,0.31231231231231227,0,1,0.0870870870870871,0,0,1,0,0.0870870870870871,0,Create account https www later com class href cP nav dropdownLink cta signup u text hl ,0,0,0,0,0,0,0,1,0
0.0,0.12562562562562563,0,1,0.07757757757757758,0,0,1,0,0.07757757757757758,0,Sign In https app later com class href cP nav dropdownLink cP nav signIn ,0,0,0,0,0,0,0,1,0
0.0,0.23623623623623624,0,1,0.02052052052052052,0,0,1,0,0.02052052052052052,0,Scheduling schedule href ,0,0,0,0,1,0,0,0,0
0.0,0.3743743743743744,0,1,0.06756756756756757,0,0,1,0,0.06756756756756757,0,Instagram Analytics instagram analytics href ,1,0,0,0,0,0,0,0,0
0.0,0.23623623623623624,0,1,0.023023023023023025,0,0,1,0,0.023023023023023025,0,Linkin bio linkinbio href ,0,0,0,0,0,0,0,1,0
0.0,0.4139139139139139,0,1,0.09109109109109109,0,0,1,0,0.09109109109109109,0,User Generated Content user generated content href ,0,0,0,0,1,0,0,0,0
0.0,0.3488488488488488,0,1,0.12012012012012012,0,0,1,0,0.12012012012012012,0,Instagram Stories schedule instagram stories href ,0,0,0,0,1,0,0,0,0
0.0,0.3608608608608609,0,1,0.06306306306306306,0,0,1,0,0.06306306306306306,0,Instagram Hashtags instagram hashtags href ,0,0,0,0,1,0,0,0,0
0.0,0.38788788788788786,0,1,0.07757757757757758,0,0,1,0,0.07757757757757758,0,Pinterest Scheduling pinterest scheduling href ,0,0,0,0,1,0,0,0,0
0.0,0.3488488488488488,0,1,0.015015015015015015,0,0,1,0,0.015015015015015015,0,TikTok Scheduling Tiktok href ,0,0,0,0,1,0,0,0,0
0.0,0.14664664664664664,0,1,0.017517517517517518,0,0,1,0,0.017517517517517518,0,Pricing pricing class href cP nav dropdownLink ,0,0,0,0,1,0,0,0,0
0.0,0.03453453453453453,0,1,0.0870870870870871,0,0,1,0,0.0870870870870871,0,Blog https later com blog class target href cP nav dropdownLink blank ,0,0,0,0,0,0,0,1,0
0.0,0.14664664664664664,0,1,0.017517517517517518,0,0,1,0,0.017517517517517518,0,Careers careers class href cP nav dropdownLink ,0,0,0,0,1,0,0,0,0
0.0,0.2007007007007007,0,1,0.009009009009009009,0,0,1,0,0.009009009009009009,0,Platform tour class href cP nav link ,0,0,0,0,1,0,0,0,0
0.0,0.3608608608608609,0,1,0.015015015015015015,0,0,1,0,0.015015015015015015,0,TikTok Scheduling tiktok href ,0,0,0,0,1,0,0,0,0
