candidateMatch,len_aTagContent_qt,len_aTagContent_group_between 60 and 175,len_aTagContent_group_under 60,len_href_qt,num_keys_qt,attr_job_yn,all_text
0.0,0.3763763763763764,0,1,0.06356356356356356,0.06356356356356356,0,Skip to Content Main class data ga event data ga action data trekkie event data trekkie action data trekkie id href in page link skip to main visuallyhidden focusable Main Nav Skip to content Main Nav Skip to content Main Nav Skip to content 
0.0,0.4469469469469469,0,1,0.07757757757757758,0.07757757757757758,0, Shopify Careers careers href class data ga event data ga action data trekkie event data trekkie action data trekkie id marketing nav logo shopify Main Nav Logo Main Nav Logo Main Nav Logo
0.0,0.3763763763763764,0,1,0.13863863863863862,0.13863863863863862,0,Life at Shopify careers culture href class itemprop marketing nav item marketing nav item primary name
0.0,0.1176176176176176,0,1,0.12512512512512514,0.12512512512512514,0,Teams careers teams href class itemprop marketing nav item marketing nav item primary name
0.0,0.33483483483483484,0,1,0.1741741741741742,0.1741741741741742,0,Work anywhere careers work anywhere href class itemprop marketing nav item marketing nav item primary name
0.0,0.3078078078078078,0,1,0.13863863863863862,0.13863863863863862,0,Internships careers interns href class itemprop marketing nav item marketing nav item primary name
0.0,0.35535535535535534,0,1,0.16716716716716717,0.16716716716716717,0,shopify com https shopify com href class itemprop marketing nav item marketing nav item user name
0.0,0.3078078078078078,0,1,0.13113113113113112,0.13113113113113112,0,Search jobs careers search href class itemprop marketing nav button marketing button marketing button small name
0.0,0.2072072072072072,0,1,0.07757757757757758,0.07757757757757758,0, Home careers href class marketing nav logo shopify
0.0,0.3763763763763764,0,1,0.13863863863863862,0.13863863863863862,0,Life at Shopify careers culture href class drawer item drawer item primary
0.0,0.1176176176176176,0,1,0.12512512512512514,0.12512512512512514,0,Teams careers teams href class drawer item drawer item primary
0.0,0.33483483483483484,0,1,0.1741741741741742,0.1741741741741742,0,Work anywhere careers work anywhere href class drawer item drawer item primary
0.0,0.3078078078078078,0,1,0.13863863863863862,0.13863863863863862,0,Internships careers interns href class drawer item drawer item primary
0.0,0.35535535535535534,0,1,0.16716716716716717,0.16716716716716717,0,shopify com https shopify com href class drawer item
0.0,0.3078078078078078,0,1,0.13113113113113112,0.13113113113113112,0,Search jobs careers search href class drawer item
0.0,0.08908908908908908,0,1,0.07757757757757758,0.07757757757757758,0,Home careers href class drawer item
0.0,0.3763763763763764,0,1,0.13863863863863862,0.13863863863863862,0,Life at Shopify careers culture href class drawer item
0.0,0.33483483483483484,0,1,0.1741741741741742,0.1741741741741742,0,Work anywhere careers work anywhere href class drawer item
0.0,0.1176176176176176,0,1,0.12512512512512514,0.12512512512512514,0,Teams careers teams href class drawer item
0.0,0.3078078078078078,0,1,0.13863863863863862,0.13863863863863862,0,Internships careers interns href class drawer item
0.0,0.3078078078078078,0,1,0.13113113113113112,0.13113113113113112,0,Search jobs careers search href class drawer item drawer item active
1.0,0.5810810810810811,0,1,0.5685685685685686,0.5685685685685686,1,Transportation Network Planner careers transportation network planner abfde class aria label href color cyan link view job posting 
1.0,0.6676676676676676,0,1,0.6281281281281281,0.6281281281281281,1,Operations Support Specialist Chino CA careers operations support specialist chino ca c class aria label href color cyan link view job posting 
1.0,0.7002002002002002,0,1,0.6811811811811812,0.6811811811811812,1,Operations Support Specialist Columbus Ohio careers operations support specialist columbus ohio b class aria label href color cyan link view job posting 
1.0,0.6891891891891891,0,1,0.6706706706706707,0.6706706706706707,1,Operations Support Specialist Savannah GA careers operations support specialist savannah ga ac class aria label href color cyan link view job posting 
1.0,0.6891891891891891,0,1,0.6706706706706707,0.6706706706706707,1,Operations Support Specialist St Louis MO careers operations support specialist st louis mo dd class aria label href color cyan link view job posting 
1.0,0.6946946946946947,0,1,0.6811811811811812,0.6811811811811812,1,Merchant Success Operations Program Manager careers merchant success operations program manager adea class aria label href color cyan link view job posting 
1.0,0.49099099099099097,0,1,0.5175175175175175,0.5175175175175175,1,Transportation Analyst careers transportation analyst fb class aria label href color cyan link view job posting 
1.0,0.7852852852852853,1,0,0.8683683683683683,0.8683683683683683,1,Support Advisor Fluent in Brazilian Portuguese Remote Ireland careers support advisor fluent in brazilian portuguese remote ireland c class aria label href color cyan link view job posting 
1.0,0.7307307307307307,0,1,0.7327327327327328,0.7327327327327328,1,Support Advisor Fluent in German Remote Ireland careers support advisor fluent in german remote ireland bffaa class aria label href color cyan link view job posting 
1.0,0.7347347347347348,0,1,0.7517517517517518,0.7517517517517518,1,Support Advisor Fluent in Japanese Remote Canada careers support advisor fluent in japanese remote canada df class aria label href color cyan link view job posting 
1.0,0.7347347347347348,0,1,0.7517517517517518,0.7517517517517518,1,Support Advisor Fluent in Spanish Remote Ireland careers support advisor fluent in spanish remote ireland eb class aria label href color cyan link view job posting 
1.0,0.7347347347347348,0,1,0.7517517517517518,0.7517517517517518,1,Support Advisor Fluent in Swedish Remote Ireland careers support advisor fluent in swedish remote ireland dd class aria label href color cyan link view job posting 
1.0,0.6401401401401401,0,1,0.5830830830830831,0.5830830830830831,1,Support Advisor Remote New Zealand careers support advisor remote new zealand db class aria label href color cyan link view job posting 
1.0,0.7307307307307307,0,1,0.7327327327327328,0.7327327327327328,1,Support Advisor Fluent in French Remote Ireland careers support advisor fluent in french remote ireland cd class aria label href color cyan link view job posting 
1.0,0.562062062062062,0,1,0.5615615615615616,0.5615615615615616,1,Director of Support Delivery careers director of support delivery dda class aria label href color cyan link view job posting 
1.0,0.7647647647647647,1,0,0.8288288288288288,0.8288288288288288,1,Support Advisor Fluent in Swedish Remote Eastern Canada careers support advisor fluent in swedish remote eastern canada afb class aria label href color cyan link view job posting 
